Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Management experience,Years of management experience,Number of subordinates,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6553e49b03878f46178e0caa,63eb5736f318e7a0cf769f06,AWAITING REVIEW,2023-11-14T21:20:27.793000Z,2023-11-14T21:28:00.263000Z,,2023-11-14T21:28:00.801294Z,453.0,C1N2Y8X2,137,"English, German",Yes,2 - 3 years,7-10,29,Male,White,Germany,Germany,Germany,German,No,Full-Time
6553e7c9da37d8575906b484,5f247ac02b2b8805b6cce266,AWAITING REVIEW,2023-11-14T21:34:06.767000Z,2023-11-14T21:53:33.552000Z,,2023-11-14T21:53:34.020616Z,1167.0,C1N2Y8X2,943,"English, German, Tamil",Yes,5+ years,2-3,39,Male,Asian,India,Germany,India,English,Yes,Full-Time
6553e8236b722464dc0d4d95,6537d0d238ce085ea079c318,AWAITING REVIEW,2023-11-14T21:35:36.851000Z,2023-11-14T21:40:22.574000Z,,2023-11-14T21:40:23.052019Z,286.0,C1N2Y8X2,42,"English, German",Yes,3 - 4 years,>10,34,Female,Mixed,Germany,Germany,Germany,German,No,Full-Time
6553e8c0ab72853d7f09bb1a,6404cb13d8157726927f4457,AWAITING REVIEW,2023-11-14T21:38:12.752000Z,2023-11-14T21:48:18.597000Z,,2023-11-14T21:48:19.108417Z,606.0,C1N2Y8X2,256,"English, German, Spanish",Yes,1 - 2 years,2-3,22,Male,Mixed,United States,Germany,Germany,German,Yes,Full-Time
6553e9e657e8574864db9f91,63b7184e9e1b04851f3a3f0b,AWAITING REVIEW,2023-11-14T21:43:08.138000Z,2023-11-14T21:54:34.232000Z,,2023-11-14T21:54:34.795322Z,687.0,C1N2Y8X2,63,"English, French",Yes,5+ years,>10,43,Female,Mixed,Cameroon,Germany,Cameroon,English,No,Full-Time
6553ea11a41ea24dc75ffea1,5ee7fbc114d0a60f9b076fb6,AWAITING REVIEW,2023-11-14T21:44:20.802000Z,2023-11-14T21:56:52.714000Z,,2023-11-14T21:56:53.177398Z,752.0,C1N2Y8X2,1791,"German, English",Yes,1 - 2 years,2-3,46,Male,White,Germany,Germany,Germany,German,No,Full-Time
6553f12086e183c20d408270,6522adda0dbf3470118625b8,AWAITING REVIEW,2023-11-14T22:13:57.450000Z,2023-11-14T22:23:47.044000Z,,2023-11-14T22:23:47.477526Z,590.0,C1N2Y8X2,37,"Turkish, English",Yes,5+ years,>10,31,Female,White,Turkey,Germany,Turkey,Turkish,No,Full-Time
6553f25cd9aa9dbac27d20e6,65216081309ddac9a26e5d3a,AWAITING REVIEW,2023-11-14T22:19:14.475000Z,2023-11-14T22:31:55.922000Z,,2023-11-14T22:31:56.461314Z,762.0,C1N2Y8X2,24,"English, German, Turkish",Yes,2 - 3 years,7-10,33,Male,White,Turkey,Germany,Germany,Turkish,No,Full-Time
6553facaea89129b961399f4,63f6216fd56701af4b7188f4,AWAITING REVIEW,2023-11-14T22:55:11.025000Z,2023-11-14T22:59:50.123000Z,,2023-11-14T22:59:50.587644Z,280.0,C1N2Y8X2,506,"English, German",Yes,2 - 3 years,7-10,30,Male,White,Germany,Germany,Germany,German,No,Full-Time
6554164629ecbe8e9c8fad66,64f0b6eb12ae939555a37a89,AWAITING REVIEW,2023-11-15T00:52:56.290000Z,2023-11-15T00:55:57.702000Z,,2023-11-15T00:55:58.159652Z,182.0,C1N2Y8X2,59,"German, English",Yes,1 - 2 years,7-10,34,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
